"","table.Class.limits","table.f","table.rf","table.rf...","table.cf","table.cf...","breaks"
"1","[14.276,16.779)",12,0.0106951871657754,1.06951871657754,12,1.06951871657754,14.2758
"2","[16.779,19.283)",18,0.0160427807486631,1.60427807486631,30,2.67379679144385,44.3188
"3","[19.283,21.787)",52,0.0463458110516934,4.63458110516934,82,7.30837789661319,2.50358333333333
"4","[21.787,24.29)",118,0.105169340463458,10.5169340463458,200,17.825311942959,0
"5","[24.29,26.794)",143,0.127450980392157,12.7450980392157,343,30.5704099821747,14.2758
"6","[26.794,29.297)",220,0.196078431372549,19.6078431372549,563,50.1782531194296,44.3188
"7","[29.297,31.801)",175,0.155971479500891,15.5971479500891,738,65.7754010695187,2.50358333333333
"8","[31.801,34.304)",157,0.139928698752228,13.9928698752228,895,79.7682709447415,0
"9","[34.304,36.808)",133,0.118538324420677,11.8538324420677,1028,91.6221033868093,14.2758
"10","[36.808,39.312)",59,0.0525846702317291,5.2584670231729,1087,96.8805704099822,44.3188
"11","[39.312,41.815)",28,0.0249554367201426,2.49554367201426,1115,99.3761140819964,2.50358333333333
"12","[41.815,44.319)",7,0.00623885918003565,0.623885918003565,1122,100,0
